N1;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X12(00:00-29:59)
29;P(1910),1,I,H;ZTM;Hallera - Baza ZKM (n/ø);;1;;;;1;
30;P(1620);ZTM;Koúciuszki (n/ø);1;;2;2;1;;2
31;P(1618);ZTM;LegionÛw (n/ø);2;;2;2;2;;2
32;P(1616);ZTM;Jana Paw≥a II (n/ø);2;;2;2;2;;2
33;P(1614);ZTM;Ko≥obrzeska (n/ø);2;;2;2;2;;2
34;P(1454);ZTM;Bora Komorowskiego (n/ø);2;;2;2;2;;2
35;P(1740);ZTM;Beniowskiego (n/ø);1;;1;1;1;;1
36;P(1716);ZTM;Oliwa PKP (n/ø);1;;1;;1;;1
37;P(118),1,I,H;ZTM;Oliwa PKP;;;;1;;;
38;P(120);ZTM;Oliwa PÍtla Tramwajowa (n/ø);2;;2;;2;;2
39;P(1833);ZTM;ObroÒcÛw Westerplatte (n/ø);1;;1;;1;;1
40;P(1503);ZTM;CystersÛw (n/ø);1;;1;;1;;1
41;P(1535),1,I;ZTM;Karpacka (Cm. Oliwski) (n/ø);;;;;;;2
42;P(1537),1,I;ZTM;Bobrowa (n/ø);;;;;;;1
43;P(4037),S,1,I;ZTM;Sopot Kasztanowa (n/ø);;;;;;;2
44;P(4039),1,I;ZTM;Sopot Smolna (n/ø);;;;;;;1
45;P(4041),1,I;ZTM;Sopot Reja (n/ø);;;;;;;1
46;P(4001),1,I;ZTM;Sopot 3 Maja (n/ø);;;;;;;1
47;P(4003),1,I;ZTM;Sopot PKP - Niepodleg≥oúci (n/ø);;;;;;;1
48;P(4005),1,I;ZTM;Sopot BohaterÛw Monte Cassino (n/ø);;;;;;;2
49;P(4007),1,I;ZTM;Sopot Goyki (n/ø);;;;;;;2
50;P(4009),1,I;ZTM;Sopot Malczewskiego (n/ø);;;;;;;1
51;P(4092),1,I;ZTM;Sopot JunakÛw (n/ø);;;;;;;2
52;P(4094),1,I;ZTM;Sopot Ma≥opolska (n/ø);;;;;;;1
53;P(4096),1,I;ZTM;Sopot Kolberga (n/ø);;;;;;;1
54;P(4098),1,I;ZTM;Sopot Brodwino (n/ø);;;;;;;1
55;P(4090),S,1,I;ZTM;Sopot Brodwino Szko≥a (n/ø);;;;;;;1
56;P(8339),1,I;ZTM;Gdynia Osiedle Bernadowo (n/ø);;;;;;;4
57;P(8308),1,I;ZTM;Gdynia Buraczana (n/ø);;;;;;;2
58;P(8337),1,I;ZTM;Gdynia Na≥kowskiej (n/ø);;;;;;;1
59;P(8309),1,I;ZTM;Gdynia èrÛd≥o Marii (n/ø);;;;;;;0
60;P(8313),1,I;ZTM;Gdynia Myúliwska (n/ø);;;;;;;1
61;P(8101),1,I;ZTM;Gdynia Karwiny Tesco (n/ø);;;;;;;2
62;P(8314),1,I;ZTM;Gdynia WiczliÒska (n/ø);;;;;;;1
63;P(1507);ZTM;Rynarzewo (n/ø);2;;2;;2;;
64;P(1509);ZTM;Osowa - Obwodnica (n/ø);3;;3;;3;;
65;P(1511),S;ZTM;Sopocka (n/ø);3;;3;;3;;9
66;P(1513);ZTM;Nowa (n/ø);1;;1;;1;;1
67;P(1515);ZTM;Barniewicka (n/ø);1;;1;;1;;1
68;P(1517);ZTM;Niedzia≥kowskiego (n/ø);1;;1;;1;;1
69;P(1519);ZTM;Biwakowa (n/ø);1;;1;;1;;1
70;B,N,K0,P(161);ZTM;Osowa PKP;1;;1;;;;1
71;P(1521),1,I;ZTM;Osowa PKP (n/ø);;;;;2;;
72;P(1523),1,I;ZTM;Nowy åwiat (n/ø);;;;;1;;
73;B,N,K,P(152),1,I;ZTM;Osowa Przesypownia;;;;;1;;
